IndicatorCode,IndicatorName,Language,Category
O_Avail_hosp,Treatment for tobacco dependence available in hospitals,EN,Tobacco
O_Avail_off_hlth_prof,Treatment for tobacco dependence available in offices of health professionals,EN,Tobacco
O_Ins_off_hlth_prof,Treatment for tobacco dependence in offices of health professionals cost covered,EN,Tobacco
O_Ins_hosp,Treatment for tobacco dependence in hospitals cost covered,EN,Tobacco
FINPROTECTION_IMP_NP310_POP,"Population pushed below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)",EN,Socioeconomic
FINPROTECTION_IMP_PG_310,"Increase in poverty gap  due to household  health expenditures at the $3.10a day poverty line, in cents of international dollars",EN,Socioeconomic
FINPROTECTION_IMP_PG_310_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.20 a-day poverty line (%, national, rural, urban)",EN,Socioeconomic
O_Ins_other,Treatment for tobacco dependence in other settings cost covered,EN,Tobacco
FINPROTECTION_IMP_NP_310_LEVEL_MILLION,Total population pushed below the $3.20 a day poverty line by household health expenditures (millions),EN,Socioeconomic
FINPROTECTION_IMP_NP_310_LEVEL_SH,"Total population pushed below the $3.20 a day poverty line by household health expenditures (%, regional, global)",EN,Socioeconomic
O_Avail_hlthSPACEclin,Treatment for tobacco dependence available in health clinics or other primary care facilities,EN,Tobacco
O_Group,Offering help to quit tobacco use,EN,Tobacco
overwgt5,Overweight prevalence in children aged <five years (%),EN,Obesity Measures
P_Group,Protecting people from tobacco smoke,EN,Tobacco
P1_compliance,Compliance of ban on smoking in HEALTH-CARE FACILITIES,EN,Tobacco
P12_fines_establishment,National smoking ban: FINES ON THE ESTABLISHMENT,EN,Tobacco
P14_funds_for_enforce,National smoking ban: DEDICATED FUNDS FOR ENFORCEMENT,EN,Tobacco
GDO_q12x2x1x1_1NGO,Majority provider of dementia carer training and education (NGO),EN,Socioeconomic
P_count_places_sf,National smoking ban: NUMBER OF PLACES SMOKE-FREE,EN,Tobacco
P5_indoor_off,National smoking ban in INDOOR OFFICES,EN,Tobacco
NUTOVERWEIGHTPREV,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates",EN,Obesity Measures
IHR11,Food safety,EN,Nutrition/Diet
GDO_q12x2x1x1_3,"Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN,Geographic
GDO_q12x2x1x1_1,"Accessibility of dementia carer training and education [Capital/capital and main cities/capital, main cities, rural areas]",EN,Socioeconomic
GDO_q12x2x1x1_1PRV,Majority provider of dementia carer training and education (Private sector),EN,Socioeconomic
GDO_q12x2x1x1_2,"Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN,Geographic
GDO_q12x2x1x1_4,"Accessibility of information on legal rights for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN,Geographic
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",EN,Obesity Measures
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",EN,Obesity Measures
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",EN,Obesity Measures
O_Avail_other,Treatment for tobacco dependence available in other settings,EN,Tobacco
O_Ins_community,Treatment for tobacco dependence in the community cost covered,EN,Tobacco
O_Ins_hlth_clin,Treatment for tobacco dependence in health clinics or other primary care facilities cost covered,EN,Tobacco
FINPROTECTION_IMP_PG_190,"Increase in poverty gap  due to household  health expenditures at the $1.90 a day poverty line, in cents of international dollars",EN,Socioeconomic
FINPROTECTION_IMP_PG_190_STD,"Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%)",EN,Socioeconomic
FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures,EN,Healthcare
obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",EN,Obesity Measures
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",EN,Obesity Measures
P7_pubs,National smoking ban in PUBS AND BARS,EN,Tobacco
P10_subnat_auth_exists,Subnational smoking bans - authority exists,EN,Tobacco
P13_fines_smoker,National smoking ban: FINES ON THE PATRON,EN,Tobacco
P15_complaints,National smoking ban: CITIZEN COMPLAINTS AND INVESTIGATIONS,EN,Tobacco
P2_compliance,Compliance of ban on smoking in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,EN,Tobacco
P2_education,National smoking ban in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,EN,Tobacco
P4_compliance,Compliance of ban on smoking in GOVERNMENT FACILITIES,EN,Tobacco
M_Est_cig_curr,Estimate of current cigarette smoking prevalence (%),EN,Tobacco
M_Est_cig_daily_crude,"Daily cigarette smoking, crude adjusted",EN,Tobacco
P8_compliance,Compliance of ban on smoking in PUBLIC TRANSPORT,EN,Tobacco
P3_compliance,Compliance of ban on smoking in UNIVERSITIES,EN,Tobacco
P3_universities,National smoking ban in UNIVERSITIES,EN,Tobacco
P6_compliance,Compliance of ban on smoking in RESTAURANTS,EN,Tobacco
P6_restaurants,National smoking ban in RESTAURANTS,EN,Tobacco
P7_compliance,Compliance of ban on smoking in PUBS AND BARS,EN,Tobacco
P8_pub_transp,National smoking ban in PUBLIC TRANSPORT,EN,Tobacco
M_Est_tob_curr_crude,"Current tobacco smoking, crude adjusted",EN,Tobacco
R_admin_tax_stamps,Tax administration: Tax stamps applied on tobacco products,EN,Tobacco
R_excise_incr,Tobacco excises increased over the survey period,EN,Tobacco
overwgt3,Overweight prevalence in children aged <three years (%),EN,Obesity Measures
P1_healthcare,National smoking ban in HEALTH-CARE FACILITIES,EN,Tobacco
P11_fines_any,National smoking ban: FINES FOR VIOLATIONS,EN,Tobacco
P4_govt,National smoking ban in GOVERNMENT FACILITIES,EN,Tobacco
P5_compliance,Compliance of ban on smoking in INDOOR OFFICES,EN,Tobacco
GDO_q12x2x1x1_1PUB,Majority provider of dementia carer training and education (Public sector),EN,Socioeconomic
GDO_q12x2x1x3,Estimated number of dementia carers receiving training and education,EN,Socioeconomic
M_Est_cig_curr_crude,"Current cigarette smoking, crude adjusted",EN,Tobacco
M_Est_cig_daily,Estimate of daily cigarette smoking prevalence (%),EN,Tobacco
R_Group,Raising taxes on tobacco,EN,Tobacco
M_Est_tob_curr,Estimate of current tobacco use prevalence (%),EN,Tobacco
M_smkless_prev_adult,Adult smokeless tobacco use indicator rate,EN,Tobacco
M_smkless_prev_youth,Youth smokeless tobacco use indicator rate,EN,Tobacco
GDO_q12x2x1x1_5,"Accessibility of financial benefits/social protection for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN,Geographic
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",EN,Obesity Measures
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",EN,Obesity Measures
NCD_BMI_MINUS2A,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (age-standardized estimate) (%)",EN,Obesity Measures
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",EN,Obesity Measures
GDO_q15x1,Inclusion of dementia training and education for non-health workers,EN,Socioeconomic
RADON_Q706,Existence of training/education on prevention/mitigation,EN,Socioeconomic
Rev_imp_other,Annual tax revenues - import duties and all other taxes (excluding corporate taxes on tobacco companies),EN,Tobacco
Rev_type,Annual tax revenues - tobacco products included,EN,Tobacco
P9_all_other,National smoking ban in ALL OTHER INDOOR PUBLIC PLACES,EN,Tobacco
R_afford_price_dispersion,Tobacco tax structure: Price dispersion: Share of cheapest brand price in premium brand price (%) (the higher the % the smaller the gap),EN,Tobacco
R_afford_tax_auto_adjust,Tobacco tax structure: Specific tax component automatically adjusted for inflation (or other),EN,Tobacco
M_Est_tob_daily,Estimate of daily tobacco use prevalence (%),EN,Tobacco
M_Est_tob_daily_crude,"Daily tobacco smoking, crude adjusted",EN,Tobacco
M_Group,Monitoring tobacco use and prevention policies,EN,Tobacco
M_smkless_def_text_adult,Adult smokeless tobacco use indicator definition,EN,Tobacco
M_smkless_def_text_youth,Youth smokeless tobacco use indicator definition,EN,Tobacco
RS_207,Blood Alcohol Concentration (BAC) limit for drivers,EN,Alcohol
RSUD_1,"Point prevalence (%), alcohol use disorders, 15+ years",EN,Alcohol
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,EN,Alcohol
RSUD_210,Voluntary treatment for people with alcohol use disorders in the criminal justice system,EN,Alcohol
RSUD_230,Compulsory treatment for people with alcohol use disorders in the criminal justice system,EN,Alcohol
RS_208,Attribution of road traffic deaths to alcohol (%),EN,Alcohol
RSUD_27,"Government benefits for alcohol use disorders, subsidy or disability pension",EN,Alcohol
RSUD_760,Educational attainment in prevention,EN,Socioeconomic
RSUD_720,Open access interventions for alcohol,EN,Alcohol
RSUD_740,Health professionals providing treatment for alcohol and drug use disorders,EN,Alcohol
RSUD_270,Financing methods for treatment for alcohol use disorders,EN,Alcohol
RSUD_30,Sector for inpatient treatment of alcohol dependence,EN,Alcohol
RSUD_300,Government benefits for people with alcohol use disorders,EN,Alcohol
RSUD_31,Sector for outpatient treatment of alcohol dependence,EN,Alcohol
RSUD_320,Main sector for treatment for alcohol use disorders,EN,Alcohol
RSUD_340,Treatment programmes for children and adolescents with alcohol use disorders,EN,Alcohol
RSUD_44,"Treatment slots for alcohol and drug use disorders, outpatient, per 10 000",EN,Alcohol
RSUD_370,Specialized treatment facilities for alcohol use disorders,EN,Alcohol
RSUD_85,NGOs for alcohol use disorders,EN,Alcohol
RSUD_850,System of monitoring alcohol involvement in forensic pathology,EN,Alcohol
RSUD_790,Educational attainment in treatment,EN,Socioeconomic
RSUD_33,Sector for residential long-term rehabilitation of alcohol use disorders,EN,Alcohol
SA_0000001398_ARCHIVED,"Alcohol, consumption of pure alcohol by type of beverage (%)",EN,Alcohol
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",EN,Alcohol
SA_0000001401,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",EN,Alcohol
SA_0000001402_ARCHIVED,"Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010",EN,Alcohol
SA_0000001403,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)",EN,Alcohol
SA_0000001403_ARCHIVED,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)",EN,Alcohol
RS_193,Income level,EN,Socioeconomic
RS_576,Gross national income per capita (Atlas method),EN,Socioeconomic
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,EN,Alcohol
RSUD_480,Registration of medications for alcohol dependence and withdrawal,EN,Alcohol
SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",EN,Alcohol
SA_0000001406_ARCHIVED,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)",EN,Alcohol
SA_0000001409_ARCHIVED,"Alcohol, abstainers lifetime (%)",EN,Alcohol
SA_0000001411_ARCHIVED,"Alcohol, abstainers past 12 months (%)",EN,Alcohol
SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",EN,Alcohol
SA_0000001414_ARCHIVED,"Alcohol, former drinkers (%)",EN,Alcohol
SA_0000001417,"Alcohol, patterns of drinking score",EN,Alcohol
SA_0000001417_ARCHIVED,"Alcohol, patterns of drinking score",EN,Alcohol
RSUD_5,"Age-standardized DALYs, alcohol and drug use disorders, per 100 000",EN,Alcohol
SA_0000001404_ARCHIVED,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",EN,Alcohol
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",EN,Alcohol
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",EN,Alcohol
RSUD_29,Sector for inpatient detoxification of alcohol use disorders,EN,Alcohol
RSUD_3,"Age-standardized death rates, alcohol and drug use disorders, per 100 000",EN,Alcohol
RSUD_32,Sector for the treatment of alcohol-induced psychoses and other alcohol-induced psychiatric conditions,EN,Alcohol
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,EN,Alcohol
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%), age-standardized",EN,Alcohol
SA_0000001405,"Alcohol, tourist consumption (in litres of pure alcohol)",EN,Alcohol
SA_0000001413_ARCHIVED,"Alcohol, consumers past 12 months (%)",EN,Alcohol
GDO_q8x3_2,"Accessibility of behaviour and psychological management in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",EN,Geographic
SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",EN,Alcohol
SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",EN,Diabetes/Glucose
RSUD_580,Prevention programmes for alcohol,EN,Alcohol
SA_0000001425,"Age-standardized DALYs, ischaemic heart disease, per 100,000",EN,Cardiovascular
RSUD_700,Employment services for alcohol use disorders,EN,Alcohol
SA_0000001444,"Age-standardized death rates, ischaemic heart disease, per 100,000",EN,Cardiovascular
GDO_q8x3_5,"Accessibility of palliative and end-of-life care services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",EN,Geographic
GDO_q8x3_1,"Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",EN,Geographic
SA_0000001440,"Age-standardized death rates, diabetes mellitus, per 100,000",EN,Diabetes/Glucose
GDO_q8x3_6,"Accessibility of social and financial protection for dementia [Capital/capital and main cities/capital, main cities, rural areas]",EN,Geographic
RSUD_890,Treatment programmes for children and adolescents with alcohol use disorders,EN,Alcohol
SA_0000001398,"Alcohol, consumption of pure alcohol by type of beverage (%)",EN,Alcohol
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",EN,Alcohol
SA_0000001401_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",EN,Alcohol
SA_0000001402,"Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010",EN,Alcohol
GDO_q5x1x1_3,Identification of different sectors in dementia care coordination (Education),EN,Socioeconomic
RSUD_68,Pharmacotherapy used for the management of alcohol withdrawal,EN,Alcohol
SA_0000001725_ARCHIVED,National alcohol policy specifically involves young people activities,EN,Alcohol
SA_0000001732,New types of alcoholic beverages emerging,EN,Alcohol
SA_0000001735,Alcohol content displayed on containers,EN,Alcohol
SA_0000001735_ARCHIVED,Alcohol content displayed on containers,EN,Alcohol
SA_0000001736_ARCHIVED,Action Plan for implementation of alcohol policy,EN,Alcohol
SA_0000001737,"Alcohol, regional per capita (15+) consumption (in litres of pure alcohol)",EN,Alcohol
SA_0000001456,"Age-standardized death rates (15+ years), alcoholic liver disease, per 100,000",EN,Alcohol
SA_0000001469,"Treatment admissions (inpatient), alcoholic psychosis, per 100,000",EN,Alcohol
SA_0000001462,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",EN,Alcohol
SA_0000001462_ARCHIVED,"Alcohol use disorders (15+), 12 month prevalence (%) with 95%",EN,Alcohol
RSUD_590,Prevention programmes for specific populations for alcohol,EN,Alcohol
GDO_q8x3_3,"Accessibility of psychosocial and rehabilitation services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",EN,Geographic
SA_0000001405_ARCHIVED,"Alcohol, tourist consumption (in litres of pure alcohol)",EN,Alcohol
SA_0000001406,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)",EN,Alcohol
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",EN,Alcohol
SA_0000001415_ARCHIVED,"Alcohol, heavy episodic drinking (population) past 30 days (%)",EN,Alcohol
SA_0000001416_ARCHIVED,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%)",EN,Alcohol
SA_0000001734,Number of standard alcoholic drinks displayed on containers,EN,Alcohol
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,EN,Healthcare
GHED_CHEGDP_SHA2011,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),EN,Healthcare
GHED_EXT_pc_PPP_SHA2011,External health expenditure (EXT) per capita in PPP int$,EN,Healthcare
SA_0000001741_ARCHIVED,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",EN,Alcohol
SA_0000001742,"Alcohol-attributable fractions (15+), road traffic crash deaths (%)",EN,Alcohol
SA_0000001744,"Alcohol, regional prevalence of alcohol dependence (%)",EN,Alcohol
SA_0000001745_ARCHIVED,"Alcohol, regional prevalence of alcohol use disorders (%)",EN,Alcohol
SA_0000001746,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025",EN,Alcohol
SA_0000001746_ARCHIVED,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025",EN,Alcohol
SA_0000001747_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average with 95%CI",EN,Alcohol
SA_0000001748_ARCHIVED,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN,Alcohol
SA_0000001749_ARCHIVED,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN,Alcohol
SA_0000001470,"Alcohol-related road traffic crashes, per 100,000 population",EN,Alcohol
SA_0000001471,Alcohol-related road traffic crashes (% of all traffic crashes),EN,Alcohol
GHED_CHE_pc_PPP_SHA2011,Current health expenditure (CHE) per capita in PPP int$,EN,Healthcare
SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",EN,Alcohol
SA_0000001461_ARCHIVED,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",EN,Alcohol
SA_0000001471_ARCHIVED,Alcohol-related road traffic crashes (% of all traffic crashes),EN,Alcohol
SA_0000001473,"Alcohol-related disease mortality, per 100,000 (15+ years)",EN,Alcohol
SA_0000001475,Annual revenues from alcohol excise tax in millions US$,EN,Alcohol
SA_0000001477,Social costs of alcohol use in millions US$,EN,Alcohol
SA_0000001503,Alcoholic beverage legally defined,EN,Alcohol
SA_0000001504_ARCHIVED,Alcohol use is banned,EN,Alcohol
GHED_PVT-D_pc_PPP_SHA2011,Domestic private health expenditure (PVT-D) per capita in PPP int$,EN,Healthcare
SA_0000001740,Alcohol-attributable Years of Life Lost (YLL) score,EN,Alcohol
SA_0000001741,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",EN,Alcohol
SA_0000001742_ARCHIVED,"Alcohol-attributable fractions (15+), road traffic crash deaths (%)",EN,Alcohol
SA_0000001743_ARCHIVED,"Alcohol-attributable fractions, all-cause deaths (%)",EN,Alcohol
SA_0000001463,"Alcoholic psychosis, incidence, per 100,000",EN,Alcohol
SA_0000001467,Perceived trend in alcohol-related harm and consequences,EN,Alcohol
SA_0000001470_ARCHIVED,"Alcohol-related road traffic crashes, per 100,000 population",EN,Alcohol
SA_0000001466,"Hospital discharges, alcoholic liver disease, per 100,000",EN,Alcohol
SA_0000001468,"Treatment admissions (inpatient), alcohol dependence, per 100,000",EN,Alcohol
SA_0000001474,Alcoholic excise tax revenue as a per cent of government revenue,EN,Alcohol
SA_0000001474_ARCHIVED,Alcoholic excise tax revenue as a per cent of government revenue,EN,Alcohol
SA_0000001475_ARCHIVED,Annual revenues from alcohol excise tax in millions US$,EN,Alcohol
SA_0000001477_ARCHIVED,Social costs of alcohol use in millions US$,EN,Alcohol
GHED_GGHE-D_pc_PPP_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in PPP int$,EN,Healthcare
GHED_GGHE-DGDP_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),EN,Healthcare
SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",EN,Alcohol
SA_0000001739_ARCHIVED,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized with 95%CI",EN,Alcohol
GHED_PVT-D_pc_US_SHA2011,Domestic private health expenditure (PVT-D) per capita in US$,EN,Healthcare
SA_0000001748,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN,Alcohol
GHED_EXTCHE_SHA2011,External health expenditure (EXT) as percentage of current health expenditure (CHE) (%),EN,Healthcare
GHED_GGHE-DCHE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%),EN,Healthcare
GHED_OOPSCHE_SHA2011,Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),EN,Healthcare
SA_0000001502_ARCHIVED,Adopted written national policy on alcohol,EN,Alcohol
SA_0000001503_ARCHIVED,Alcoholic beverage legally defined,EN,Alcohol
SA_0000001506_ARCHIVED,National legislation to prevent illegal alcohol,EN,Alcohol
RSUD_660,Treatment programmes for women with alcohol use disorders,EN,Alcohol
RSUD_680,Special housing services for alcohol use disorders,EN,Alcohol
SA_0000001725,National alcohol policy specifically involves young people activities,EN,Alcohol
SA_0000001437,"Age-standardized death rates, alcohol use disorders, per 100,000",EN,Alcohol
GDO_q8x3_4,"Accessibility of activities of daily living support services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]",EN,Geographic
SA_0000001732_ARCHIVED,New types of alcoholic beverages emerging,EN,Alcohol
SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",EN,Alcohol
SA_0000001751_ARCHIVED,"Alcohol, average daily intake in grams among drinkers with 95%CI",EN,Alcohol
SA_0000001752,"Alcohol, total (recorded + unrecorded) per capita (15+) consumption, projected estimates for 2016",EN,Alcohol
SA_0000001752_ARCHIVED,"Alcohol, total (recorded + unrecorded) per capita (15+) consumption, projected estimates for 2016",EN,Alcohol
SA_0000001754_ARCHIVED,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",EN,Alcohol
SA_0000001523,"Prices for alcoholic beverages (average, US$)",EN,Alcohol
SA_0000001760,15-19 years old total alcohol consumption in litres of pure alcohol,EN,Alcohol
SA_0000001749,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) with 95%CI",EN,Alcohol
SA_0000001754,"Alcohol, harmful use (15+), 12 month prevalence (%) with 95%CI",EN,Alcohol
SA_0000001762,National guidelines for alcohol problem prevention and counselling at workplaces,EN,Alcohol
SA_0000001762_ARCHIVED,National guidelines for alcohol problem prevention and counselling at workplaces,EN,Alcohol
SA_0000001761,National guidelines for the prevention and reduction of alcohol-related harm in schools,EN,Alcohol
SA_0000001763,Workplace representatives nationally involved to prevent and address alcohol-related harm,EN,Alcohol
SA_0000001520,Legal blood alcohol concentration (BAC) limits,EN,Alcohol
SA_0000001520_ARCHIVED,Legal blood alcohol concentration (BAC) limits,EN,Alcohol
SA_0000001734_ARCHIVED,Number of standard alcoholic drinks displayed on containers,EN,Alcohol
SA_0000001736,Action Plan for implementation of alcohol policy,EN,Alcohol
SA_0000001737_ARCHIVED,"Alcohol, regional per capita (15+) consumption (in litres of pure alcohol)",EN,Alcohol
SA_0000001740_ARCHIVED,Alcohol-attributable Years of Life Lost (YLL) score,EN,Alcohol
SA_0000001463_ARCHIVED,"Alcoholic psychosis, incidence, per 100,000",EN,Alcohol
SA_0000001465,"Hospital discharges, alcohol-related injuries and poisoning, per 100,000",EN,Alcohol
