,CountryCode,Year,IndicatorCode,IndicatorName,NumericValue,Value
257556,CYP,1992.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",15.268935,15.3 [12.5-18.3]
257559,DZA,2018.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",21.786548,21.8 [19.5-24.1]
257560,USA,2010.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",35.841832,35.8 [34.9-36.7]
257564,SUR,2014.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",23.962612,24.0 [19.6-28.5]
257566,STP,2003.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",8.0426253,8.0 [6.7-9.5]
257567,BRN,2016.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",26.565963,26.6 [24.1-29.2]
257568,AFR,2001.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",6.151418,6.2 [5.9-6.4]
257571,COK,1990.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",47.341052,47.3 [41.9-53.1]
257574,FJI,2003.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",23.483229,23.5 [21.7-25.3]
257575,MHL,1998.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",36.991873,37.0 [33.4-40.5]
257576,BWA,2001.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.424459,10.4 [8.5-12.4]
257578,OMN,1996.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.036451,16.0 [14.6-17.5]
257579,TKM,1998.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.957767,11.0 [8.8-13.4]
257580,WB_HI,2000.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.872069,16.9 [16.6-17.2]
257581,UZB,2017.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",25.589213,25.6 [23.9-27.4]
257585,IRL,1996.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.653709,16.7 [14.9-18.5]
257591,CPV,2014.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",12.028439,12.0 [10.5-13.7]
257594,SVK,1999.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",14.896353,14.9 [13.6-16.2]
257599,COM,1994.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",3.9525263,4.0 [3.0-5.1]
257601,SLE,2002.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",4.1298665,4.1 [3.3-5.1]
257603,ARG,2013.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",27.068126,27.1 [25.6-28.6]
257605,SAU,2022.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",40.599075,40.6 [35.7-45.8]
257607,PRY,2003.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",19.069082,19.1 [16.0-22.2]
257617,MNE,1996.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.431947,10.4 [7.1-14.4]
257622,CYP,1999.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",17.686556,17.7 [15.0-20.4]
257625,GBR,2002.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",20.457628,20.5 [19.9-21.1]
257626,JAM,2002.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",18.605883,18.6 [17.2-20.0]
257629,PAK,2010.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",11.211558,11.2 [10.3-12.2]
257632,SGP,2006.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",5.9795879,6.0 [5.4-6.6]
257638,AGO,2012.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",8.5220776,8.5 [5.9-11.6]
257640,VNM,2009.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",0.63725151,0.6 [0.6-0.7]
257642,LBR,2013.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.732324,10.7 [9.7-11.8]
257644,LSO,1996.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",9.2715636,9.3 [7.9-10.9]
257645,LSO,2017.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",18.181264,18.2 [16.1-20.3]
257648,TON,2019.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",69.06603,69.1 [65.9-72.1]
257649,CHE,2007.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",11.669863,11.7 [10.6-12.8]
257651,IRN,2018.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",22.659856,22.7 [21.6-23.7]
257656,EST,1998.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",15.81423,15.8 [14.6-17.1]
257657,DZA,2005.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",15.608558,15.6 [14.0-17.3]
257660,AND,2003.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",14.707641,14.7 [12.2-17.4]
257662,IDN,2014.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",6.7850232,6.8 [6.2-7.4]
257664,BEL,1990.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",12.102687,12.1 [11.1-13.1]
257667,GRL,2016.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",24.654645,24.7 [22.3-27.0]
257668,AND,1999.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",13.37873,13.4 [10.8-16.1]
257673,CHE,2013.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",11.801005,11.8 [10.8-12.9]
257675,TKL,1992.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",54.804367,54.8 [49.1-60.3]
257677,BTN,2001.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",3.6259249,3.6 [2.6-4.9]
257679,NRU,2002.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",66.079575,66.1 [63.8-68.2]
257684,PRT,1991.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",11.87014,11.9 [9.9-14.0]
257686,GLOBAL,1995.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",7.538167,7.5 [7.4-7.7]
257689,LBR,2010.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",9.40644,9.4 [8.4-10.5]
257691,ATG,2000.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",18.783778,18.8 [12.4-26.4]
257696,TUR,2007.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",27.657998,27.7 [26.9-28.5]
257697,GHA,2012.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.238216,10.2 [9.5-11.0]
257699,SRB,2001.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",14.695451,14.7 [13.5-15.9]
257700,PER,2006.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",14.723578,14.7 [13.9-15.5]
257703,HTI,2013.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",8.5198566,8.5 [7.2-10.1]
257705,TUV,2020.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",63.097394,63.1 [58.3-67.8]
257708,LTU,2000.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",20.087044,20.1 [18.7-21.5]
257717,GEO,2018.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",31.733298,31.7 [28.9-34.6]
257719,POL,2021.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",26.92011,26.9 [24.1-29.8]
257724,ZAF,2000.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",22.809054,22.8 [21.5-24.1]
257726,DNK,1999.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.288728,10.3 [9.4-11.2]
257731,PYF,2002.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",38.995057,39.0 [34.9-43.2]
257732,KAZ,2009.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",15.473282,15.5 [13.9-17.0]
257736,CAN,2018.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",25.574449,25.6 [23.9-27.3]
257739,STP,2020.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",15.301241,15.3 [13.3-17.4]
257741,GLOBAL,2011.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",11.829347,11.8 [11.7-12.0]
257743,MLI,2019.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.006309,10.0 [8.1-12.3]
257744,GNB,1996.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",3.0149234,3.0 [1.9-4.5]
257746,MLI,2015.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",8.5115127,8.5 [7.1-10.1]
257747,COK,2002.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",55.717331,55.7 [52.4-59.1]
257749,SLV,2018.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",28.647074,28.6 [25.7-31.8]
257750,PAN,2005.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",20.867297,20.9 [19.0-22.8]
257754,BGR,1990.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",11.595149,11.6 [9.1-14.4]
257756,BRA,1992.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",9.2648998,9.3 [8.4-10.2]
257757,YEM,2012.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",9.1545396,9.2 [8.0-10.4]
257764,ROU,2001.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",12.194241,12.2 [11.0-13.5]
257766,URY,2019.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",30.674666,30.7 [26.9-34.5]
257770,BRA,1993.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",9.5920049,9.6 [8.8-10.5]
257776,PNG,2013.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",17.107564,17.1 [14.3-20.1]
257781,SOM,2014.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.406199,10.4 [7.3-14.0]
257784,CUB,1999.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.244083,10.2 [9.1-11.4]
257786,EST,1993.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",14.204301,14.2 [12.6-15.9]
257788,PLW,1999.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",36.347061,36.3 [31.4-41.5]
257792,SSD,1991.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1.7448656,1.7 [0.9-3.1]
257793,EUR,2013.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",20.575109,20.6 [20.2-20.9]
257795,ASM,2018.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",74.0816,74.1 [68.5-79.0]
257796,SLB,2016.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",20.364606,20.4 [18.1-22.7]
257797,UZB,2008.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",17.54715,17.5 [16.0-19.2]
257798,MNE,2006.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",13.093477,13.1 [9.4-17.1]
257800,STP,2015.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",12.923551,12.9 [11.5-14.4]
257802,VEN,2010.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",22.418727,22.4 [20.7-24.2]
257808,UZB,1992.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",8.5751221,8.6 [6.9-10.5]
257809,JOR,2003.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",32.016581,32.0 [30.4-33.7]
257810,TTO,1994.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.830981,16.8 [14.2-19.7]
257819,ALB,1990.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.904262,10.9 [8.3-13.9]
257825,TJK,2008.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",14.619495,14.6 [12.5-16.9]
257830,TKL,2006.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",62.237263,62.2 [58.7-65.6]
257831,TZA,2016.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",9.2205554,9.2 [8.1-10.4]
257834,LBN,1990.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",14.540651,14.5 [12.0-17.4]
257838,SEN,2005.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",6.0559209,6.1 [5.3-6.9]
257840,THA,2001.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",5.9826177,6.0 [5.5-6.5]
257842,PSE,2001.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",27.994752,28.0 [26.0-30.1]
257846,BTN,1990.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1.6587622,1.7 [0.9-2.7]
257849,LAO,2004.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",3.0276496,3.0 [2.3-3.9]
257851,BIH,2008.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.105235,16.1 [13.6-18.7]
257855,AUT,1998.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",11.426907,11.4 [10.3-12.6]
257860,JAM,2010.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",24.90346,24.9 [23.3-26.5]
257863,EGY,2013.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",38.172328,38.2 [36.8-39.5]
257875,TON,2004.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",56.418657,56.4 [53.8-59.1]
257880,OMN,2018.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",28.330603,28.3 [25.7-31.1]
257882,AFR,2014.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",9.589556,9.6 [9.3-9.9]
257890,EST,2013.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",21.03795,21.0 [19.6-22.5]
257895,SOM,2004.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",6.5510929,6.6 [4.2-9.6]
257897,MDV,2021.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.569354,16.6 [14.7-18.5]
257903,TKM,1994.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",9.6207395,9.6 [7.4-12.2]
257909,LBR,2019.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",14.44114,14.4 [13.1-15.8]
257913,EUR,2017.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",21.450451,21.5 [21.0-21.9]
257916,SOM,2013.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",9.9717513,10.0 [6.9-13.5]
257920,GLOBAL,2016.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",13.433155,13.4 [13.3-13.6]
257921,DNK,2011.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",12.507869,12.5 [11.8-13.2]
257923,AGO,2022.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",11.473734,11.5 [7.6-16.0]
257925,MUS,1993.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",9.7032465,9.7 [8.8-10.6]
257928,PAN,1999.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.533703,16.5 [14.5-18.7]
257930,KGZ,2006.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.137697,16.1 [14.4-18.0]
257931,SRB,1999.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",14.156073,14.2 [13.0-15.5]
257946,NOR,1993.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",8.9916766,9.0 [8.1-10.0]
257948,WPR,1990.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1.63627,1.6 [1.5-1.7]
257949,IND,1998.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1.5314687,1.5 [1.4-1.7]
257951,GUY,1993.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",10.539547,10.5 [8.0-13.3]
257958,PNG,2008.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",15.74568,15.7 [13.6-18.0]
257960,SLB,2008.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",17.904994,17.9 [15.8-20.0]
257963,ITA,2014.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.273552,16.3 [15.2-17.4]
257964,BGR,2012.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",17.646722,17.6 [16.1-19.3]
257966,AND,2008.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.070682,16.1 [13.4-19.0]
257967,EMR,1995.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",12.157892,12.2 [11.6-12.7]
257972,DZA,1997.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",12.205689,12.2 [10.3-14.3]
257980,ESP,1997.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",16.976696,17.0 [16.1-17.9]
257987,PRY,2008.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",22.090712,22.1 [19.3-24.9]
257992,GRC,2009.0,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",23.516253,23.5 [21.8-25.3]
